Judet,Nume Unitati,Tip,Latitudine,Longitudine
Ilfov,"Liceul cu program sportiv prelungit ""Helmut Duckadam"", Clinceni, județul Ilfov",Liceu cu program sportiv prelungit,44.3783044,25.9418086
Maramureș,"Liceul Tehnologic Ocna Șugatag, Ocna Șugatag, județul Maramureș",Liceu Tehnologic,47.7809322,23.9377118
Maramureș,"Școala Gimnazială Remetea Chioarului, din localitatea Remetea Chioarului, județul Maramureș",Școală Gimnazială,47.5292473,23.5438645
Maramureș,"Școala Profesională nr.1 Vișeu de Sus, Județul Maramureș",Școală Profesională,47.7114508,24.4295382
Maramureș,"Liceul Tehnologic Agricol ""Alexiu Berinde"", Seini, Județul Maramureș",Liceu Tehnologic Agricol,47.7468555,23.2764124
Mureș,"Palatul Copiilor Târgu Mureș - structura Sighișoara, județul Mureș",Palatul Copiilor,46.5392086,24.5691492
Mureș,"Liceul Tehnologic ""Ion Vlasiu"" Târgu Mureș, Județul Mureș",Liceu Tehnologic,46.5583241,24.5784532
Mureș,"Grădinița cu program prelungit ""Emanuel"", județul Mureș",Grădinița cu program prelungit,46.7717104,24.7010334
Neamț,"Seminarul Teologic Ortodox"" Veniamin Costachi"" Mănăstirea Neamț , județul Neamț",Seminarul Teologic Ortodox,47.2612621,26.2149239
Neamț,"Școala Gimnazială Nr. 8 Piatra Neamț, din mun. Piatra Neamț, județul Neamț",Școală Gimnazială,46.9409299,26.3815535
Neamț,"Școala Profesională, Comuna Valea Ursului din județul Neamț",Școală Profesională,46.7995364,27.0784798
Neamț,"Liceul ""Vasile Conta"" Târgu Neamț, Neamț",Liceu,47.2042781,26.3620924
Neamț,"Clubul Copiilor Târgu Neamț, Neamț",Clubul Copiilor,47.2082535,26.3683444
Neamț,"Școala Gimnazială ""I. Gervescu"" Săvinești, județul Neamț",Școală Gimnazială,46.85813,26.4684345
Neamț,"Școala Gimnazială Comuna Grumăzești, Comuna Grumăzești, județul Neamț",Școală Gimnazială,47.1398434,26.3782893
Neamț,"Școala Gimnazială nr.3 Piatra Neamț, județul Neamț",Școală Gimnazială,46.8872236,26.4162366
Neamț,"Școala de Artă""Sergiu Celibidache"" Roman, localitatea Roman, județul Neamț",Școala de Artă,46.9233196,26.9408599
Olt,"Centrul Școlar pentru Educație Incluzivă Balș, localitatea Balș județul Olt",Centrul Școlar pentru Educație Incluzivă,44.3504248,24.1023946
Olt,"Școala Gimnazială ""Ștefan Protopopescu"" Slatina, județul Olt",Școală Gimnazială,44.4264779,24.3657526
Olt,"Liceul Teoretic ""Nicolae Titulescu"", din mun. Slatina, județul Olt",Liceu Teoretic,44.4265284,24.369572
Olt,"Liceul Teoretic ""Mihai Viteazul"", Caracal Județul Olt",Liceu Teoretic,44.1152065,24.3455428
Olt,"Școala Gimnazială Vulturești, din localitatea Vulturești, județul Olt",Școală Gimnazială,44.7203127,24.3134015
Prahova,"Școală Gimnazială, Comuna Bătrâni, Județul Prahova",Școală Gimnazială,45.3145802,26.1472137
Salaj,"Școala Gimnazială Nr 1 IP, IP, județul Sălaj",Școală Gimnazială,47.2281705,22.60632
Salaj,"Grădinița "" Prichindel"" Jibou, Judetul Salaj",Grădiniță,47.2599029,23.2587938
Saru Mare,"Liceul Tehnologic de Industrie Alimentara ""George Emil Palade"" Satu Mare, Județul Satu Mare",Liceu Tehnologic de Industrie Alimentara,47.788006,22.857783
Satu Mare,"Școala Gimnazială Sauca, localitatea Sauca, județul Satu Mare",Școală Gimnazială,47.467341,22.4916729
Satu Mare,"Liceul Tehnologic ""Simion Bărnuțiu"", localitatea Carei, județul Satu Mare",Liceu Tehnologic,47.6846037,22.4607559
Satu Mare,"Școala Gimnazială Botiz, localitate Botiz, județul Satu Mare",Școală Gimnazială,47.900496,22.9485103
Satu Mare,"Liceul Tehnologic ""Iuliu Maniu"" Carei, localitatea Carei, județul Satu Mare",Liceu Tehnologic,47.6886314,22.4670605
Satu Mare,"Școala Gimnazială "" Vasile Lucaciu"" Carei, localitatea Carei, județul Satu Mare",Școală Gimnazială,47.6859421,22.4707559
Satu Mare,"Școala Gimnazială ""Mihai Viteazul""Moftinu Mic, din localitatea Moftinu Mic, județul Satu Mare",Școală Gimnazială,47.6861326,22.5999837
Satu Mare,"Liceul Tehnologic ""Unio-Traian Vuia"" Satu Mare, județul Satu Mare",Liceu Tehnologic,47.7752814,22.8813535
Satu Mare,"Școala Gimnazială Tășnad, din localitatea Tășnad, județul Satu Mare",Școală Gimnazială,47.4744758,22.5859165
Satu Mare,"Liceul Tehnologic de Industrie Alimentară ""George Emil Palade"" Satu Mare, Județul Satu Mare",Liceu Tehnologic de Industrie Alimentară,47.788006,22.857783
Satu Mare,"Liceul cu program sportiv Satu Mare, Județul Satu Mare",Liceu cu program sportiv,47.7960884,22.8885166
Satu Mare,"Școala Gimnazială ""Grigore Moisil"", județul Satu Mare",Școală Gimnazială,47.7949156,22.8784259
Sibiu,Școala Gimnazială Poplaca județul Sibiu,Școală Gimnazială,45.7280541,24.050205
Sibiu,"Liceul Tehnologic ""Avram Iancu"", localitatea Sibiu, județul Sibiu",Liceu Tehnologic,45.7910619,24.1519139
Sibiu,"Colegiul Economic ""George Barițiu"" Sibiu, localitatea Sibiu"", județul Sibiu",Colegiu Economic,45.7841143,24.1503914
Sibiu,"Colegiul Naţional ""Octavian Goga"" Sibiu",Colegiu Naţional,45.7935506,24.1458825
Sibiu,"Liceul Tehnologic de Industrie Alimentară ""Terezianum"", Sibiu",Liceu Tehnologic de Industrie Alimentară,45.8065259,24.14977
